age_upon_outcome,animal_id,animal_type,breed,color,date_of_birth,datetime,monthyear,name,outcome_subtype,outcome_type,sex_upon_outcome,age,puppy,dob_year,dob_month,dob_monthyear,outcome_month,outcome_year,outcome_weekday,outcome_hour,color1,color2
4 months,A755181,Bird,owl,brown/black,2017-03-30 00:00:00,2017-07-30 13:15:00,2017-07-30 13:15:00,,Medical,Euthanasia,Unknown,122,True,2017,3,2017-07,7,2017,6,13,brown,black
2 weeks,A753923,Bird,chicken,black/brown,2017-06-29 00:00:00,2017-07-15 15:16:00,2017-07-15 15:16:00,,Partner,Transfer,Unknown,16,True,2017,6,2017-07,7,2017,5,15,black,brown
1 year,A720741,Bird,chicken,red/brown,2015-02-14 00:00:00,2016-03-08 16:06:00,2016-03-08 16:06:00,Rooster 25,,Adoption,Intact Male,388,False,2015,2,2016-03,3,2016,1,16,red,brown
4 weeks,A750283,Bird,chicken,gray,2017-04-25 00:00:00,2017-05-29 14:20:00,2017-05-29 14:20:00,,,Adoption,Unknown,34,True,2017,4,2017-05,5,2017,0,14,gray,
1 year,A748023,Bird,chicken,red,2016-04-28 00:00:00,2017-05-04 00:00:00,2017-05-04 00:00:00,,Partner,Transfer,Unknown,371,False,2016,4,2017-05,5,2017,3,0,red,
2 years,A729393,Bird,dove,gray,2014-06-17 00:00:00,2016-06-17 15:52:00,2016-06-17 15:52:00,,Suffering,Euthanasia,Unknown,731,False,2014,6,2016-06,6,2016,4,15,gray,
2 years,A740877,Bird,hawk,gray,2014-12-24 00:00:00,2016-12-25 10:14:00,2016-12-25 10:14:00,,Partner,Transfer,Unknown,732,False,2014,12,2016-12,12,2016,6,10,gray,
3 days,A702293,Bird,duck,yellow/black,2015-05-08 00:00:00,2015-05-11 18:33:00,2015-05-11 18:33:00,,,Adoption,Unknown,3,True,2015,5,2015-05,5,2015,0,18,yellow,black
6 months,A701725,Bird,chicken,black,2014-11-03 00:00:00,2015-05-13 07:43:00,2015-05-13 07:43:00,,,Relocate,Unknown,191,True,2014,11,2015-05,5,2015,2,7,black,
1 year,A753968,Bird,chicken,red,2016-07-13 00:00:00,2017-07-22 18:10:00,2017-07-22 18:10:00,,Foster,Adoption,Unknown,374,False,2016,7,2017-07,7,2017,5,18,red,
8 months,A749157,Bird,duck,yellow,2016-09-11 00:00:00,2017-05-15 09:32:00,2017-05-15 09:32:00,,Foster,Adoption,Unknown,246,True,2016,9,2017-05,5,2017,0,9,yellow,
1 year,A763769,Bird,hawk,brown,2016-12-15 00:00:00,2017-12-15 18:42:00,2017-12-15 18:42:00,,Suffering,Euthanasia,Unknown,365,True,2016,12,2017-12,12,2017,4,18,brown,
1 year,A711895,Bird,conure,green,2014-09-13 00:00:00,2015-09-16 19:32:00,2015-09-16 19:32:00,,,Adoption,Unknown,368,False,2014,9,2015-09,9,2015,2,19,green,
1 year,A716660,Bird,sparrow,gray,2014-11-22 00:00:00,2015-11-23 11:36:00,2015-11-23 11:36:00,,,Relocate,Unknown,366,False,2014,11,2015-11,11,2015,0,11,gray,
